"id","WBC","RBC","HGB","sex","exposure","batch"
"1","4.6","8.49","104","f","1","control"
"2","4","8.35","76","f","1","control"
"3","7.9","8.51","56","f","1","control"
"4","3.7","7.02","36","f","1","control"
"5","2.6","7.68","13","f","1","control"
"6","4.3","8.45","19","f","1","control"
"7","3.7","7.98","129","f","1","control"
"8","4.2","7.39","114","f","1","control"
"9","4.4","7.89","120","f","1","control"
"10","3.1","7.55","118","f","1","control"
"11","8.7","7.37","118","m","1","control"
"12","4.2","7.7","120","m","1","control"
"13","6.4","8.65","126","m","1","control"
"14","3.2","7.06","113","m","1","control"
"15","7.2","6.31","109","m","1","control"
"16","1.3","6.97","107","m","1","control"
"17","4.7","6.52","111","m","1","control"
"18","2.6","6.84","109","m","1","control"
"19","2.5","7.79","112","m","1","control"
"20","2.6","8.33","127","m","1","control"
"21","8.5","8","128","f","2","exp"
"22","4.8","7.42","120","f","2","exp"
"23","5.7","8.31","129","f","2","exp"
"24","3.9","8.75","132","f","2","exp"
"25","8.4","9.36","160","f","2","exp"
"26","3.2","9.73","161","f","2","exp"
"27","1.6","8.37","126","f","2","exp"
"28","7.8","6.87","133","f","2","exp"
"29","6.6","8.2","127","f","2","exp"
"30","5.1","8.04","128","f","2","exp"
"31","2.3","8.65","138","m","2","exp"
"32","4.2","8.12","149","m","2","exp"
"33","3.1","9.87","142","m","2","exp"
"34","3.7","9.47","135","m","2","exp"
"35","4.9","9.19","145","m","2","exp"
"36","2","9.34","136","m","2","exp"
"37","8.8","9.16","154","m","2","exp"
"38","4.2","8.93","145","m","2","exp"
"39","9.1","8.78","158","m","2","exp"
"40","2.5","8.9","137","m","2","exp"
